	Index	Boolean
r1	1	0
r2	2	1
r3	3	0
r4	4	1
r5	5	0
r6	6	1
r7	7	0
r8	8	1
r9	9	0
r10	10	1
r11	11	0
r12	12	1
r13	13	0
r14	14	1
r15	15	0
r16	16	1
r17	17	0
r18	18	1
r19	19	0
r20	20	1
r21	21	0
r22	22	1
r23	23	0
r24	24	1
r25	25	0
r26	26	1
r27	27	0
r28	28	1
r29	29	0
r30	30	1
r31	31	0
r32	32	1
r33	33	0
r34	34	1
r35	35	0
r36	36	1
r37	37	0
r38	38	1
r39	39	0
r40	40	1
r41	41	0
r42	42	1
r43	43	0
r44	44	1
r45	45	0
r46	46	1
r47	47	0
r48	48	1
r49	49	0
r50	50	1
r51	51	0
r52	52	1
r53	53	0
r54	54	1
r55	55	0
r56	56	1
r57	57	0
r58	58	1
r59	59	0
r60	60	1
r61	61	0
r62	62	1
r63	63	0
r64	64	1
r65	65	0
r66	66	1
r67	67	0
r68	68	1
r69	69	0
r70	70	1
r71	71	0
r72	72	1
r73	73	0
r74	74	1
r75	75	0
r76	76	1
r77	77	0
r78	78	1
r79	79	0
r80	80	1
r81	81	0
r82	82	1
r83	83	0
r84	84	1
r85	85	0
r86	86	1
r87	87	0
r88	88	1
r89	89	0
r90	90	1
r91	91	0
r92	92	1
r93	93	0
r94	94	1
r95	95	0
r96	96	1
r97	97	0
r98	98	1
r99	99	0
r100	100	1
r101	101	0
r102	102	1
r103	103	0
r104	104	1
r105	105	0
r106	106	1
r107	107	0
r108	108	1
r109	109	0
r110	110	1
r111	111	0
r112	112	1
r113	113	0
r114	114	1
r115	115	0
r116	116	1
r117	117	0
r118	118	1
r119	119	0
r120	120	1
r121	121	0
r122	122	1
r123	123	0
r124	124	1
r125	125	0
r126	126	1
r127	127	0
r128	128	1
r129	129	0
r130	130	1
r131	131	0
r132	132	1
r133	133	0
r134	134	1
r135	135	0
r136	136	1
r137	137	0
r138	138	1
r139	139	0
r140	140	1
r141	141	0
r142	142	1
r143	143	0
r144	144	1
r145	145	0
r146	146	1
r147	147	0
r148	148	1
r149	149	0
r150	150	1
r151	151	0
r152	152	1
r153	153	0
r154	154	1
r155	155	0
r156	156	1
r157	157	0
r158	158	1
r159	159	0
r160	160	1
r161	161	0
r162	162	1
r163	163	0
r164	164	1
r165	165	0
r166	166	1
r167	167	0
r168	168	1
r169	169	0
r170	170	1
r171	171	0
r172	172	1
r173	173	0
r174	174	1
r175	175	0
r176	176	1
r177	177	0
r178	178	1
r179	179	0
r180	180	1
r181	181	0
r182	182	1
r183	183	0
r184	184	1
r185	185	0
r186	186	1
r187	187	0
r188	188	1
r189	189	0
r190	190	1
r191	191	0
r192	192	1
r193	193	0
r194	194	1
r195	195	0
r196	196	1
r197	197	0
r198	198	1
r199	199	0
r200	200	1
